ProductCode,ProductName,MODEL,SKU_TYPE,CATEGORY,SUB_CATEGORY,SIZE_GROUP
8855671025164,HAIER เครื่องทำน้ำอุ่น ขนาด 3500 วัตต์ รุ่น EI35A1(W) สีขาว,EI35A1(W),SELLABLE,WH,Manual,3500W
8855671025188,HAIER เครื่องทำน้ำอุ่น ขนาด 3500 วัตต์ EI35A2(W) สีขาว,EI35A2(W),SELLABLE,WH,Manual,3500W
8855671031240,HAIER เครื่องทำน้ำอุ่น Copper Tank ขนาด 3500 วัตต์ รุ่น EI35M-F1CWB สีขาว,EI35M-F1CWB(TH),SELLABLE,WH,Manual,3500W
8855671030106,HAIER เครื่องทำน้ำอุ่น ขนาด 3500 วัตต์ รุ่น EI35M-F1W สีขาว,EI35M-F1W(TH),SELLABLE,WH,Manual,3500W
8855671025171,HAIER เครื่องทำน้ำอุ่น ขนาด 4500 วัตต์ รุ่น EI45A1(W) สีขาว,EI45A1(W),SELLABLE,WH,Manual,4500W
8855671025195,HAIER เครื่องทำน้ำอุ่น ขนาด 4500 วัตต์ EI45A2(W) สีขาว,EI45A2(W),SELLABLE,WH,Manual,4500W
S8855671025232,สินค้าตัวโชว์ HAIER เครื่องทำน้ำอุ่น ขนาด 4500 วัตต์ EI45H2(B) Digital สีดำ,EI45H2(B),MOCK_UP,WH,Digital,4500W
8855671031233,HAIER เครื่องทำน้ำอุ่น Copper Tank ขนาด 4500 วัตต์ รุ่น EI45M-F1CWB สีขาว,EI45M-F1CWB(TH),SELLABLE,WH,Manual,4500W
8855671030113,HAIER เครื่องทำน้ำอุ่น ขนาด 4500 วัตต์ รุ่น EI45M-F1W สีขาว,EI45M-F1W(TH),SELLABLE,WH,Manual,4500W
8855671026796,HAIER เครื่องทำน้ำอุ่น Multipoint ขนาด 6000 วัตต์ รุ่น EI60C1(W) สีขาว,EI60C1(W),SELLABLE,WH,Digital,6000W
6971926017028,HAIER SMART TV Android ขนาด 32 นิ้ว รุ่น H32D6M สีดำ,H32D6M,SELLABLE,TV,FHD,↓ 43"
S6971926017028,สินค้าตัวโชว์ HAIER SMART TV Android ขนาด 32 นิ้ว รุ่น H32D6M สีดำ,H32D6M,DEMO,TV,FHD,↓ 43"
6971926014980,HAIER LED Digital TV  32 นิ้ว รุ่น H32F6000,H32F6000,SELLABLE,TV,FHD,↓ 43"
6971926019794,HAIER Smart  ทีวี Android  ขนาด 32 นิ้ว H32K66G สีดำ,H32K66G,SELLABLE,TV,FHD,↓ 43"
S6971926019794,สินค้าตัวโชว์ HAIER Smart  ทีวี Android  ขนาด 32 นิ้ว H32K66G สีดำ,H32K66G,DEMO,TV,FHD,↓ 43"
6971926016410,HAIER Smart  ทีวี Android  ขนาด 32 นิ้ว H32K66G Plus,H32K66G PLUS,SELLABLE,TV,FHD,↓ 43"
S6971926016410,สินค้าตัวโชว์ HAIER Smart  ทีวี Android  ขนาด 32 นิ้ว H32K66G Plus,H32K66G PLUS,DEMO,TV,FHD,↓ 43"
8855671033312,HAIER Smart TV ขนาด 32 นิ้ว รุ่น H32S80EFX สีดำ,H32S80EFX,SELLABLE,TV,QLED,↓ 43"
S6971926017035,สินค้าตัวโชว์ HAIER Smart TV Android ขนาด 43 นิ้ว รุ่น H43D6FG สีดำ,H43D6FG,DEMO,TV,FHD,43-50"
6971926019954,Haier Smart TV Android 11 ขนาด 43 นิ้ว รุ่น H43K6FG Plus สีดำ,H43K6FG PLUS,SELLABLE,TV,FHD,43-50"
8855671033336,HAIER Smart TV Android ขนาด 43 นิ้ว รุ่น H43S80EUX สีดำ,H43S80EUX,SELLABLE,TV,QLED,43-50"
