BranchCode,STORE_NAME_CUST,STORE_ID,STORE_NAME,PROVINCE,STORE_TYPE,REGION
GH-114,สาขาหนองคาย สาขาที่  00011,S00096,GH-NONGKHAI,NONGKHAI,STORE,NORTHEAST
GH-187,สาขาสมุย  สาขาที่ 00076,S00125,GH-SAMUI-SURATTHANI,SURATTHANI,STORE,SOUTH
GH-158,สาขายโสธร  สาขาที่ 00036,S00185,GH-YASOTHON,YASOTHON,STORE,NORTHEAST
GH-168,สาขาพังโคน สาขาที่ 00053,S00197,GH-PHANG_KHON-SAKONNAKHON,SAKONNAKHON,STORE,NORTHEAST
GH-164,สาขาภูเก็ต สาขาที่ 00063,S00212,GH-PHUKET,PHUKET,STORE,SOUTH
GH-137,สาขาบ้านตาด  สาขาที่  00026,S00256,GH-BAN_TAK-UDONTHANI,UDONTHANI,STORE,NORTHEAST
GH-108,สาขาราชบุรี สาขาที่ 00007,S00258,GH-RATCHABURI,RATCHABURI,STORE,WEST&EAST
GH-136,สาขาตราด  สาขาที่  00030,S00260,GH-TRAT,TRAT,STORE,WEST&EAST
GH-194,สาขาระนอง สาขาที่  00080,S00269,GH-RANONG,RANONG,STORE,SOUTH
GH-117,สาขานครพนม สาขาที่  00014,S00276,GH-NAKHONPHANOM,NAKHONPHANOM,STORE,NORTHEAST
GH-160,สาขาเลย สาขาที่ 00048,S00279,GH-LOEI,LOEI,STORE,NORTHEAST
GH-115,สาขานครราชสีมา สาขาที่  00012,S00285,GH-NAKHONRATCHASIMA,NAKHONRATCHASIMA,STORE,NORTHEAST
GH-193,สาขาพรเจริญ สาขาที่ 00078,S00311,GH-PRON_CHAROEN-BUENGKAN,BUENGKAN,STORE,NORTHEAST
GH-166,สาขาแม่สาย สาขาที่ 00066,S00314,GH-MAESAI-CHIANGRAI,CHIANGRAI,STORE,NORTH
GH-184,สาขาพยัคฆภูมิพิสัย สาขาที่ 00073,S00316,GH-PHAYAKKHAPHUMPHISAI-MAHASARAKHAM,MAHASARAKHAM,STORE,NORTHEAST
GH-182,สาขาหนองหาน สาขาที่ 00075,S00320,GH-NONGHAN-UDONTHANI,UDONTHANI,STORE,NORTHEAST
GH-125,สาขาแพร่  สาขาที่  00020,S00328,GH-PHRAE,PHRAE,STORE,NORTH
GH-138,สาขาพะเยา  สาขาที่  00029,S00330,GH-PHAYAO,PHAYAO,STORE,NORTH
GH-156,สาขาสิงห์บุรี สาขาที่ 00040,S00334,GH-SINGBURI,SINGBURI,STORE,WEST&EAST
GH-186,สาขากุฉินารายณ์  สาขาที่ 00071,S00339,GH-KUCHINARAI-KALASIN,KALASIN,STORE,NORTHEAST
GH-169,สาขาแม่ฮ่องสอน สาขาที่ 00061,S00345,GH-MAEHONGSON,MAEHONGSON,STORE,NORTH
GH-109,สาขากาฬสินธุ์ สาขาที่ 00008,S00348,GH-KALASIN,KALASIN,STORE,NORTHEAST
GH-102,สาขาขอนแก่น สาขาที่ 00001,S00353,GH-KHONKAEN,KHONKAEN,STORE,NORTHEAST
GH-112,สาขามหาสารคาม สาขาที่ 00010,S00354,GH-MAHASARAKHAM,MAHASARAKHAM,STORE,NORTHEAST
GH-174,สาขาด่านขุนทด สาขาที่ 00059,S00355,GH-DANKHUNTHOT-NAKHONRATCHASIMA,NAKHONRATCHASIMA,STORE,NORTHEAST
GH-146,สาขานครนายก  สาขาที่ 00035,S00358,GH-NAKHONNAYOK,NAKHONNAYOK,STORE,WEST&EAST
GH-101,สำนักงานใหญ่,S00361,GH-ROIET,ROIET,STORE,NORTHEAST
GH-120,สาขาพิษณุโลก  สาขาที่  00017,S00365,GH-PHITSANULOK,PHITSANULOK,STORE,NORTH
GH-127,สาขาเชียงราย สาขาที่ 00041,S00368,GH-CHIANGRAI,CHIANGRAI,STORE,NORTH
GH-171,สาขาโชคชัย สาขาที่ 00056,S00374,GH-CHOK_CHAI-NAKHONRATCHASIMA,NAKHONRATCHASIMA,STORE,NORTHEAST
GH-140,สาขาปราณบุรี สาขาที่ 00038,S00376,GH-PRANBURI-PRACHUAPKHIRIKHAN,PRACHUAPKHIRIKHAN,STORE,WEST&EAST
GH-150,สาขาปทุมธานี1 สาขาที่ 00042,S00378,GH:PATHUMTHANI,PATHUMTHANI,STORE,BKK CENTRAL
GH-177,สาขากันทรลักษ์ สาขาที่ 00065,S00379,GH-KANTARARAK-SISAKET,SISAKET,STORE,NORTHEAST
GH-104,สาขาเวียงกุมกาม สาขาที่ 00003,S00380,GH-WIANG_KUM_KAM-CHIANGMAI,CHIANGMAI,STORE,NORTH
